garbageAppName
Microsoft.Copilot
Microsoft.WindowsFeedbackHub
Microsoft.BingWeather
Microsoft.BingSearch
Microsoft.BingNews
Clipchamp.Clipchamp
MSTeams
Microsoft.Todos
Microsoft.PowerAutomateDesktop
Microsoft.MicrosoftSolitaireCollection
Microsoft.MicrosoftStickyNotes
Microsoft.XboxGameCallableUI
Microsoft.XboxIdentityProvider
Microsoft.XboxSpeechToTextOverlay
Microsoft.XboxGamingOverlay
Microsoft.Xbox.TCUI
